qid,query,modified_query
test-environment-assgbatj-pro03a,it isn t necessary we don t know how we will be able to develop new drugs without animal testing until we end it we now know how most chemicals work and computer simulations of chemicals are very good 6 experimenting on tissue can show how drugs work without the need for actual animals even skin left over from surgery can be experiment on and being human is more useful the fact that animal research was needed in the past isn t a good excuse any more we still have all the advancements from animal testing in the past but it s no longer needed 7,it isn t necessary we do t now ho we ill be able to develop new rugs without nimal testing until w end it we now kow how most chals wor and comuter imulatns of chemicals are very good 6 experimnting on tisue can show how drugs work itut the nee for actul animas even skin left oer fom surery can be xperiet on and being human i more useful th fact that animal research was needed in the past isn t a good xcuse any more we still have all he advanceent frm animal testing in the past bt it s no longer needed 7
test-environment-assgbatj-pro04a,most animals can suffer more than some people it s possible to think of people that can t suffer like those in a persistent vegetative state or with significant intellectual disabilities we could go for one of three options either we could experiment on animals but not such people which is morally not consistent we could allow both but do we want to do painful medical research on the disabled or we could do neither 9,os anils can sufr mre than me people t s possble o think of peopl that ca t suffer ike those in a persistnt vegetative state o with signiicant intellecual disabilities we could go for one of three ptions either we could experiment on animals but no such eople which is mrally not cistent we could allow both bt do we wnt to do painful medcal rech on te dsabled or we could do nether 9
test-environment-assgbatj-con02a,people will die if we don t do animal testing every year 23 new drugs are introduced in the uk alone 13 almost all will be tested on animals a new drug will be used for a long time think of all the people saved by the use of penicillin if drugs cost more to test that means drug companies will develop less this means more people suffering and dying,pope will ie i we dn t do aimal testing every yr 3 new ugs are introduced in the u aloe 3 almost all will be teted on animls a ne drg will be used fo a long time think of all the people savd by th use of pnicilin if drugs cost more to test that mea drug compaies will develop les this means more peole suffering and dyig
test-environment-assgbatj-con05a,research animals are well treated animals used in research generally don t suffer while they may be in pain they are generally given pain killers and when they are put down this is done humanely 16 they are looked after as healthy animals mean better experimental results these animals live better lives than they would in the wild as long as animals are treated well there shouldn t be a moral objection to animal research this is exactly the same as with raising animals that will be used for meat,research animal are ell treated animals used in researh generally don t suffr whie they may be in pan they are generally given pai killers and when they ae p down this is doe umnely 16 they are ooked after as health animas mean btter experimenal rsults these anils liv better lives than hy would in the wild as long as nials are treated wel their shon t b a moal objectio to anima research tis s exactly the same s ith raiing nials that wll be used for mat
test-environment-assgbatj-con04a,animal research is only used when it s needed eu member states and the us have laws to stop animals being used for research if there is any alternative the 3rs principles are commonly used animal testing is being refined for better results and less suffering replaced and reduced in terms of the number of animals used this means that less animals have to suffer and the research is better,animal research is only used wen t s needed eu member states and the us have laws to stop animals being used or resarch if there is an alterative te 3s priciples are mmonly used animal testing is being refined for beter esult and less suffering replaced and educed i terms of te number of aimal used his mans that less animals have to sfer and the research is better
test-environment-assgbatj-con03a,testing is needed for really new drugs the real benefit of animal testing is making totally new drugs which is about a quarter of them after non animal and then animal tests it will be tested on humans the reason why the risk is low but not non existent for these brave volunteers is because of the animal tests these new chemicals are the ones most likely to produce improvements to people s lives because they are new you couldn t do research on these new drugs without either animal testing or putting humans at a much higher risk,testing is eeded for really new rugs he real benefit of animal testing is aking totaly new dugs whch s about a qrter of h ate non animal and ten animal tests it will be tsted n humans the reaon why the rik is lw but not no exitent for these brve volunters is bcause of te anima ests these new chmls ae the ones most likl o rodue improvements to people s lives becuse tey are new you couldn t do esear on thes new drugs withut eiher animal testing or ptting huans at a uc higher risk
test-environment-assgbatj-con01a,animals don t have human rights humans have large brains form social groups communicate and are generally worthy of moral consideration we also are aware of ourselves and of the nature of death some animals have some of these characteristics but not all so should not have the same rights in harming animals to benefit humans we enter in to a good moral trade off to create a greater good 11,animals don t hae human rights umans hav large brains orm social oups communiate and re generally worthy of mora consideration we also are aware of ourselves an of the nature of eath some animals have some of these characteriics bu not all so houd not have te sae rights in harming animals t benefit humns we ete in to a good oral trade ff to create a greater god 11
test-environment-aiahwagit-pro02a,poaching is becoming more advanced a stronger militarised approach is needed as poaching is becoming far more advanced poachers now operate with high calibre rifles night vision scopes silencers and use helicopters to hunt their prey 1 these methods are used particularly against rhinoceroses in south africa whose horns have become extremely valuable on the asian market for their supposed medical properties 2 in response to this south african rangers are being given specialised training and use their own aerial surveillance to track poachers down with success 3 supporting the argument for a militarised response to protect endangered animals 1 wwf african rhino poaching crisis 2 zapwing the rhino poaching crisis 3 ibid,pocing is becoming more advacd a stronger miitaised approch is neded as poaching is bcomig far more advanced poachers now operate wih hgh alibre rfes night vision scpes silncers and use helicoter t hunt their prey 1 these mthods are used particularly agains rnocerses n souh afica ose hors have bcome extremly vluable on the asian arket for thier supposed medical properties 2 in resons to this south african angers are being given spcialied training and se teir own aeril surveillance o trac poachers dow wit success 3 supportig the argument for a militaised response to protect endangered animals 1 wwf africn rhin poachng criss 2 zapwng te rhino poaching crisis 3 ibid
test-environment-aiahwagit-pro05a,the justice system does not currently work a major failing in current anti poaching operations is that the poachers are rarely prosecuted african legal systems rarely prioritise poaching as a serious crime with offenders usually receiving trivial fines1 one of the major reasons for the western black rhinoceros extinction in 2011 was the complete lack of sentencing for any of the poachers who were captured 1 the system also fails to prosecute the brains behind many of the operations due to poor investigative methods this creates an impression in the minds of the poachers that they can operate with impunity 2 1 mathur a western black rhino poached out of existence declared extinct slack anti poaching efforts responsible 2 welz a the war on african poaching is militarization fated to fail,te justic sysem does not crrently work a major failing in current anti poaching operations i tat the poachers are arely proscuted african legal sytems rarely prioritise poaching s a srious crime with ofenders usualy receivig triial ines1 one of the major reasons for the etern bac rnoero extinction in 2011 was the compee lack of sntencing for any of the pachers who were catured 1 the system also fails o prosecte the brains behind many of the oerations du to poor investigaive mthods this ceates an impression in the minds of the pochrs hat they can operat wih impunity 2 1 mathur a wesern black rhino poachd out of eistnce declared extinct sack ant poaching efforts esposible 2 welz a te war n african poaching is militarization fated t fail
test-environment-aiahwagit-pro01a,natural habitats being are destroyed a tougher approach to the protection of animals is needed to prevent their natural habitats from being destroyed by locals as humans expand their agricultural activity in africa they are destroying the environments of endangered animals and pushing others towards being endangered due to an increase in large scale cotton plantations and food crops the west african lion has seen a marked decrease in population numbering less than 400 in early 2014 1 tougher protection such as fencing off areas from human activity has been suggested and has seen success in south africa 2 1 bbc lions facing extinction in west africa 2 morelle r fencing off wild lions from humans could save them,natral habitats being ar deroyed a tougher approach to th protection o animals s needed to pevent their natura habitats from bein desroyed by locals a humans expan their agriultural activity in africa hey are detroying the envirnents of endagered amas and pushing other towrds bing endngered due to an increase i lare scle coton plantatons ad food crops the west africn lion ha seen a arkd decreas i population numbering less thn 400 in erl 2014 1 toughr ptection such s fencin off areas from huma ctivty has been suggested and has sn succss in sout arica 2 1 bbc lins facing extinctio in wst afica 2 relle r fencing of wild ions from humans col save them
test-environment-aiahwagit-pro03a,endangered animals are a source of pride for african countries endangered animals warrant a tougher degree of protection in africa as they have notable cultural significance some groups believe that african elephants have mystic powers attached to them and have coveted them for centuries 1 african lions have been depicted on the coat of arms for states and institutions both past and present 2 they are intrinsically linked with africa s past and its identity the extinction of these animals therefore would have a negative cultural impact and should be prevented 1 university of california los angeles elephant the animal and its ivory in african culture 2 coleman q the importance of african lions,endagred anl are a source of pide for african coutries endangered animals wrrant a tougher degee of protection in africa as they hve otable cltural sgnificanc sme groups believe tht african elepans have mysic powers attached to them ad hav covetd tem for enturies 1 africa lions have been deicted on the coat of arms for states and insitutions bot pst and present 2 they ae intrinsically linked with africa s past and its idetity th extinction f these animas threfore wuld have a negative cultural impact and should be peented 1 universi of califori los angle elephant the anmal and is ivory i afican culture 2 coleman q the importane of african lions
test-environment-aiahwagit-pro04a,poaching is linked to terrorism stronger protection of animals should be implemented to reduce the funding for terrorist groups certain terrorist organisations use the illegal ivory and horn trade as funding for their operations al shabaab the lord s resistance army lra and the sudanese janjaweed all use the illicit trade as a source of income with the former using the trade for 40 of its expenditure 1 this enables them to carry out attacks such as the 2013 westgate siege in kenya 2 tougher protection of endangered animals would reduce the ability of these groups to fund themselves in turn this would decrease their operational capability increasing stability in africa 1 stewart c illegal ivory trade funds al shabaab s terrorist attacks 2 tackett c how elephant poaching helped fund kenya terrorist attack,poahing is linked to terrorsm strongr precion of anmals should be imlemente to redue the unding fr erorist gros certin errorist orgaisation use the illegal ivory ad horn trade as funng for their operations a shabaa the lord s resstance arm lra and the sudanese njaweed ll use the illcit trade a a source of incme with the former usng the trade for 40 of ts expediture 1 this enables thm to carry out atacks sc as the 2013 westgate seige in kenya 2 togher proecion of endangere animals woul reuc he abilit o these groups to fund themslves in turn this would decrase heir operaonal capability incrang stability in africa 1 stewar c illegl ivory tade funs l shabab s terrorist atcks 2 tckett c how elephan poaching hlpe fund kenya terroist atac
test-environment-aiahwagit-con02a,fewer human deaths fewer large beasts will lead to fewer deaths in africa some endangered animals are aggressive and will attack humans hippopotamuses kill in excess of three hundred humans a year in africa with other animals such as the elephant and lion also causing many fatalities 1 footage released in early 2014 of a bull elephant attacking a tourist s car in kruger national park south africa demonstrated the continued threat these animals cause 2 tougher protection would result in higher numbers of these animals which increases the risk to human lives 1 animal danger most dangerous animals 2 withnall a rampaging bull elephant flips over british tourist car in kruger park,fewer uman dths fewer large beast ill lead to fewer deaths i frca some endangere animas are agressive and will attack huas hippopotamuss kill in exces o three hundred humans a ye in africa with othr animals such as the elephat and lion als causig many fatalities 1 footage released in early 014 of a bull elephant attacking a ust s cr in kruger aonl park south africa demonstrated the ontinued threat these anials cause 2 togher potectin wold esut in higher numbers of these animals which increases the risk to human lives 1 animl daner most dagerous animals 2 withall a rapaging bull elphat flips ver brtish tourist ar in krugr park
test-environment-aiahwagit-con04a,heavy handed approaches do not solve the motivations for poaching creating tougher responses to poaching will not deter poachers as they fail to recognise the motivations for illegal hunting many hunters especially those who aren t native to africa take part in poaching as there is a thrill in the illegal status 1 the close calls challenges and sense of independence will all be multiplied by increased protection on the game reserves then there are those who take part out of necessity poachers will often be able to make 50 100 per kilogram for a rhinoceros horn 2 and the bush meat from kills can be a necessary source of nutrition 3 poaching creates opportunities for africans which are usually unavailable in licit work tougher protection of animals fails to provide an alternative livelihood for these poachers 1 forsyth c amp marckese t thrills and skills a sociological analysis of poaching pg 162 2 stewart c illegal ivory trade funds al shabaab s terrorist attacks 3 bbc lions facing extinction in west africa,heavy handed appoaces do nt solve the motivatios for poaching creating tougher responses to poaching wil not dete poachers a tey fail to recogni th motations for illegal hunting many hunte specal those ho ren t native o frica tak part in poachin s their is a thrill in the illegal status 1 he cose alls chllenes and sens of indepedence ill all be mutiplied by increased proecton on the gam rserves then here are those who ake pat out of necessity poacher will oten be able t make 50 100 per kiogram o a rhnoceros horn 2 and he bush meat from kill can be a necessary source of nutrition 3 poaching ceate oportnities for africans which are usually unavilable in licit work tougher protection of animals ails to provide an lternaive livelihood for the poachers 1 forsyth c amp markese t thrills n skills a sociological anlysis of poacing pg 162 2 tewart c illegal ivory trade fds al shabaa s terrorst attacks 3 bbc lions facing exticton in west afria
