qid,query,modified_query
test-environment-assgbatj-pro03a,it isn t necessary we don t know how we will be able to develop new drugs without animal testing until we end it we now know how most chemicals work and computer simulations of chemicals are very good 6 experimenting on tissue can show how drugs work without the need for actual animals even skin left over from surgery can be experiment on and being human is more useful the fact that animal research was needed in the past isn t a good excuse any more we still have all the advancements from animal testing in the past but it s no longer needed 7,it sn t necessary we don t know how we will be able to deelop new drugs without animal eting until we end it we now know how most chemicals work and computer simuations of chmicals are very good 6 experimenting on tissue can show how drugs wok without the need for actual anmals even skin left over fom surgey can be experiment on nd being human i more usefu the fact tat animal research was needed in the past isn t a good excuse any more we still have all the advancements from animal testing in the pst but it s no logr needed 7
test-environment-assgbatj-pro04a,most animals can suffer more than some people it s possible to think of people that can t suffer like those in a persistent vegetative state or with significant intellectual disabilities we could go for one of three options either we could experiment on animals but not such people which is morally not consistent we could allow both but do we want to do painful medical research on the disabled or we could do neither 9,most animals can suffer more than some people it s possil to hin of people tht can t suffer like those n a persistent vegetative state or with significant itellectual disabilites we could go for one of three options either we could experiment on animals but no such people which is moraly not consistent we could allow both but d we want to do painfl meical research on the disabled or we could do either 9
test-environment-assgbatj-con02a,people will die if we don t do animal testing every year 23 new drugs are introduced in the uk alone 13 almost all will be tested on animals a new drug will be used for a long time think of all the people saved by the use of penicillin if drugs cost more to test that means drug companies will develop less this means more people suffering and dying,people will die if we on t do animal tsting evey year 23 new drugs are introduced in the uk lone 13 almost all will be teted on animals a new drug wil b ued for a ong time think of al the people saved by the use o pecillin if drug ost more to tes that means drug comanie wil develop lss this means mor epe suffering and dying
test-environment-assgbatj-con05a,research animals are well treated animals used in research generally don t suffer while they may be in pain they are generally given pain killers and when they are put down this is done humanely 16 they are looked after as healthy animals mean better experimental results these animals live better lives than they would in the wild as long as animals are treated well there shouldn t be a moral objection to animal research this is exactly the same as with raising animals that will be used for meat,reearch animals are well trated animals usd in esearh generally don t suffer while thy may e i pain they are generally given pain killes and when tey are put down this is one humanely 16 they are loked after as healthy animals mean better experimental results these animl lve btter lives than tey would in the wild as ln as animals ae treated well there shouldn t be a moral objection to animal research this is exactly the same s with rasng animals that will be used fo meat
test-environment-assgbatj-con04a,animal research is only used when it s needed eu member states and the us have laws to stop animals being used for research if there is any alternative the 3rs principles are commonly used animal testing is being refined for better results and less suffering replaced and reduced in terms of the number of animals used this means that less animals have to suffer and the research is better,animal reearch is only usd whn it s needed eu member states and the u ave laws to stop animals bing used for research if there is any alternative th 3rs principles are commonly used animal testng is being refined fr better resuts and less sufferin rplaced and reduced in terms of the number of animals used this means that less animals have to sufer and the research is beter
test-environment-assgbatj-con03a,testing is needed for really new drugs the real benefit of animal testing is making totally new drugs which is about a quarter of them after non animal and then animal tests it will be tested on humans the reason why the risk is low but not non existent for these brave volunteers is because of the animal tests these new chemicals are the ones most likely to produce improvements to people s lives because they are new you couldn t do research on these new drugs without either animal testing or putting humans at a much higher risk,testing is needed for really new drugs the real benefit of animl testing is making totly new dugs which is bout a quarter of them ater non animal and hen animal tests it will be tested on humans the reason why the risk is lo but not non existent or these brave volunteers is because o the animal tests these new chemicals are the oes most likely to produc improements to people s lives ecause they are new yo oudn t do esarch on these ew drugs without eithr animal testing or putting humans at a much higher risk
test-environment-assgbatj-con01a,animals don t have human rights humans have large brains form social groups communicate and are generally worthy of moral consideration we also are aware of ourselves and of the nature of death some animals have some of these characteristics but not all so should not have the same rights in harming animals to benefit humans we enter in to a good moral trade off to create a greater good 11,animals don t have human rights humans have lag brains rm scial groups communicate and are geerlly worthy of moral consideration we also are awar of ourselves and o the nature of death soe anims have some of these characteristics but not all so should not have the ame rights in harming animals to benefit humans we ente in to a ood moal trade off to crete a greater god 11
test-environment-aiahwagit-pro02a,poaching is becoming more advanced a stronger militarised approach is needed as poaching is becoming far more advanced poachers now operate with high calibre rifles night vision scopes silencers and use helicopters to hunt their prey 1 these methods are used particularly against rhinoceroses in south africa whose horns have become extremely valuable on the asian market for their supposed medical properties 2 in response to this south african rangers are being given specialised training and use their own aerial surveillance to track poachers down with success 3 supporting the argument for a militarised response to protect endangered animals 1 wwf african rhino poaching crisis 2 zapwing the rhino poaching crisis 3 ibid,poaching is becoming more advanced a stronger militarised approach i needed as poaching is becoming far more advnced poachers now operate with high calibre rifls nigt viion scopes silencers and use elicoters to hunt their prey 1 these methods ar used particularly gainst rhinocroses in outh africa whose hons have become extremely valuable on the asian markt for hir supposed medical properties 2 in response to this south african rangers are bing gven specalised training and use their own aerial surveillance to track poachers don wth success 3 suporting the arguement for a militaried response to protect endagered anmals 1 f african rhino poahing crisis 2 zapwing the rhino poaching crisis 3 ibi
test-environment-aiahwagit-pro05a,the justice system does not currently work a major failing in current anti poaching operations is that the poachers are rarely prosecuted african legal systems rarely prioritise poaching as a serious crime with offenders usually receiving trivial fines1 one of the major reasons for the western black rhinoceros extinction in 2011 was the complete lack of sentencing for any of the poachers who were captured 1 the system also fails to prosecute the brains behind many of the operations due to poor investigative methods this creates an impression in the minds of the poachers that they can operate with impunity 2 1 mathur a western black rhino poached out of existence declared extinct slack anti poaching efforts responsible 2 welz a the war on african poaching is militarization fated to fail,the justice system does not currently work a maor failig in currnt anti poching operation is that te poachers are rel rosuted african legl systems rarey prioritise poachin as a seious crime with offenders usally receving trivial fines1 one of the major reasons for the western black rhnoceros extincon in 2011 was the complete ack of sntencing for any of the poahers who were captued 1 the system als fails to prosecute the brains behind may of the operations due to poor investigativ methos this creates an mpression in the mids of e poachers that they cn opeate ith impunit 2 1 mathur a western black rhino poached out of exitence declared extinct slak anti poaching efforts responsible 2 welz a the war on african poaching is militarization fated to ail
test-environment-aiahwagit-pro01a,natural habitats being are destroyed a tougher approach to the protection of animals is needed to prevent their natural habitats from being destroyed by locals as humans expand their agricultural activity in africa they are destroying the environments of endangered animals and pushing others towards being endangered due to an increase in large scale cotton plantations and food crops the west african lion has seen a marked decrease in population numbering less than 400 in early 2014 1 tougher protection such as fencing off areas from human activity has been suggested and has seen success in south africa 2 1 bbc lions facing extinction in west africa 2 morelle r fencing off wild lions from humans could save them,natural habitats being are destroyed a tougher approch to te protectio of animals is needed to prevent their natural habitats from eing destroyed by local as huans epand their agricultural activity in africa thy ae destroying the environments of ndangered animals and pushing others towards being endangered due to an increase in large scale otton planation and food crops the west african lio has seen a marked decrease in population numbering less thn 400 in early 2014 1 tougher protection such as fencing off aeas from human activity has been sggested and hs seen sucess in suth africa 2 1 bbc lions facing extinction in west africa 2 morelle r fencing off wid lins from humans could save them
test-environment-aiahwagit-pro03a,endangered animals are a source of pride for african countries endangered animals warrant a tougher degree of protection in africa as they have notable cultural significance some groups believe that african elephants have mystic powers attached to them and have coveted them for centuries 1 african lions have been depicted on the coat of arms for states and institutions both past and present 2 they are intrinsically linked with africa s past and its identity the extinction of these animals therefore would have a negative cultural impact and should be prevented 1 university of california los angeles elephant the animal and its ivory in african culture 2 coleman q the importance of african lions,endangered animals are a source of pride for african countries endangered anmals warrant a tougher degree of protection in frica as they have notable cultural igniicance some groups believe that african elephants hve mystic powers attachd to them and have covetd them for centuries 1 africn lios hve been depicted on the coat of arms for state and institutio both past and pesent 2 they are ntrinsically linked with africa s past and its identty the extinctio of these animals therefore would have a negative culural imac and houl be prevented 1 university of caifornia los angeles elephant the animal and its ivory i afrcan cultre 2 coleman q the importnce of afran lions
test-environment-aiahwagit-pro04a,poaching is linked to terrorism stronger protection of animals should be implemented to reduce the funding for terrorist groups certain terrorist organisations use the illegal ivory and horn trade as funding for their operations al shabaab the lord s resistance army lra and the sudanese janjaweed all use the illicit trade as a source of income with the former using the trade for 40 of its expenditure 1 this enables them to carry out attacks such as the 2013 westgate siege in kenya 2 tougher protection of endangered animals would reduce the ability of these groups to fund themselves in turn this would decrease their operational capability increasing stability in africa 1 stewart c illegal ivory trade funds al shabaab s terrorist attacks 2 tackett c how elephant poaching helped fund kenya terrorist attack,oaching i linked to terrorism stroger protetion of animals sould be implemened to rduce the uning for terorist groups certain terrorist oranisations use the ilegal ivoy and horn trade as funding fo their operations al shabaab the lord s resistance army lra and the sudanese janjaweed all use the illicit trade as a source f inome wih the former usin the trade for 40 of its expenditure 1 is enables hem to carry out ttcks suc as the 2013 westgate siege in kenya 2 tugher protection of endangered animal would redce the ablity of these groups to fund themselves in tur this would decrase their operational caablity increasing stability in afric 1 stewart c illegal ivory trade unds al shabaab s terrorist ttacks 2 tackett c how elephant poaching helpe fund kenya terrorst attack
test-environment-aiahwagit-con02a,fewer human deaths fewer large beasts will lead to fewer deaths in africa some endangered animals are aggressive and will attack humans hippopotamuses kill in excess of three hundred humans a year in africa with other animals such as the elephant and lion also causing many fatalities 1 footage released in early 2014 of a bull elephant attacking a tourist s car in kruger national park south africa demonstrated the continued threat these animals cause 2 tougher protection would result in higher numbers of these animals which increases the risk to human lives 1 animal danger most dangerous animals 2 withnall a rampaging bull elephant flips over british tourist car in kruger park,fwer human deaths fewer lage beasts will lead to ewer deaths in africa som endangered animals are aggressive and will attack huans hippopotamuses kil in excess of tree hundred humans a year i africa with other nimas such as the elephant and lion also causing many fatalities 1 fotage relesed i early 2014 of a ull elephnt atacking a tourist s car in kruger national park south africa demontrated the contnud tret these animals cuse 2 tougher protection would eult in higher numbers of these animas which increases the r o human lives 1 animal danger most dngerous animals 2 withnal a rampaging bull elephnt flips over british torit car in kruger park
test-environment-aiahwagit-con04a,heavy handed approaches do not solve the motivations for poaching creating tougher responses to poaching will not deter poachers as they fail to recognise the motivations for illegal hunting many hunters especially those who aren t native to africa take part in poaching as there is a thrill in the illegal status 1 the close calls challenges and sense of independence will all be multiplied by increased protection on the game reserves then there are those who take part out of necessity poachers will often be able to make 50 100 per kilogram for a rhinoceros horn 2 and the bush meat from kills can be a necessary source of nutrition 3 poaching creates opportunities for africans which are usually unavailable in licit work tougher protection of animals fails to provide an alternative livelihood for these poachers 1 forsyth c amp marckese t thrills and skills a sociological analysis of poaching pg 162 2 stewart c illegal ivory trade funds al shabaab s terrorist attacks 3 bbc lions facing extinction in west africa,hevy handed aproches d not solve the motivations for poaching creating tougher rsponses to poaching will not deter oachers as they fail to recogise the motivation for illegal hunting man huners esecially those who aren t ntive to africa take part in poaching as there is a thril in the illegal status 1 the close calls challenges and sens of independence will all be muliplie by incrased potection on the game reserves thn there re those who tae par out of necessity poachers will oftn be able to make 50 100 pe kilogram for a rhinoceros hrn 2 and the bush meat from kills ca be a necessary source of nutrition 3 poaching creats oportunities for africans wic are usually unavailable in lcit work tougher roection of animals fails to provide an alternatv livelihood for hese poachers 1 forsyth c amp marckese t thrills and skills a ociological analysis of aching pg 162 2 stewart c illegal ivoy trde funds al shaaab s terrort attacks 3 bc lions facing exinction in ws afrca
test-environment-aiahwagit-con03a,legalising the trade of horns ivory furs and pelts would be more effective making it legal for hunters to kill these endangered animals rather than protecting them could prevent extinction the protected status of endangered animals has made their pelts horns and tusks more expensive as they are harder to obtain 1 the current illegality of trading rhino horns has constrained supply in comparison to demand in asia this has driven the price of the horn to around 84 000 softening protection for endangered animals could in theory reduce the price to a point where it is no longer profitable to hunt these endangered animals 2 this would potentially increase supply by freeing up that seized by governments which is currently destroyed and could potentially involve farming as south africa is considering with rhino horn 3 1 welz a the war on african poaching is militarization fated to fail 2 player i amp fourie a how to win the war against poachers 3 molewa e statement on rhino poaching intervention,legaliing the tade of horns ivor furs and plts would be more effective making i legal for hunters to kill these endngered animals rather than protetng them could preent extinction the prtected status o endangered animals hs made their pelts horns and tusks mre expensive as he are harder to obtain 1 the current illegality of trading rhino horns has constraine suply in comparison to demand in asia ths has driven the price of the horn to around 84 000 softening rotection for endangered animals could in theory reuce the price t a point where it is no longer proitale to hunt these endangered animals 2 this would ptentially increase supply b freeing up that seized by governments which is curently destroyed and could potentially inove faring as south africa is considerin with rhino horn 3 1 welz a the war on african poaching is militarization fated to fail 2 playe i amp fouie a how to win the war against poachers 3 molewa e statement on hino poaching interventio
