qid,query
test-health-hgwhwbjfs-pro03a,better nutrition leads to better students there is a growing body of evidence linking a healthy lifestyle comprising of both adequate nutrition and physical exercise with improved memory concentration and general academic performance 1 a study has shown that when primary school students consume three or more junk food meals a week literacy and numeracy scores dropped by up to 16 compared to the average 2 this is a clear incentive for governments to push forward for healthier meals in schools for two reasons the first obvious benefit is to the student whose better grades award her improved upward mobility especially important for ethnic groups stuck worst by the obesity epidemic and a lower average socioeconomic status the second benefit is to the schools who benefit on standardized testing scores and reduced absenteeism as well as reduced staff time and attention devoted to students with low academic performance or behavior problems and other hidden costs of low concentration and performance of students 3 1 cdc student health and academic achievement 19 october 2010 accessed 9 11 2011 2 paton graeme too much fast food harms children s test scores the telegraph 22 may 2009 accessed 20 september 2011 3 society for the advancement of education overweight students cost schools plenty december 2004 9 11 2011
test-health-hgwhwbjfs-con02a,targeting schools will be an ineffective strategy schools may seem like a perfect place to effect behavioral change in youth since 95 of young people are enrolled in schools 1 but what researchers find is that changing the choices we have available does not necessarily lead to any behavioral change penny gordon larsen one of the researchers wrote our findings suggest that no single approach such as just having access to fresh fruits and veggies might be effective in changing the way people eat we really need to look at numerous ways of changing diet behaviors there are likely more effective ways to influence what people eat 2 in the case of school children is this point seems particularly salient given that high school students in the us average only 6 hours in school 3 and the widespread availability of fast and other forms of junk food we can hardly expect that impacting this single environment of the school will lead to any lasting behavioral changes realistically what we can expect is for school children to go outside the school to find their favorite snacks and dishes even if by some miracle the ban would change the behavior of children in schools there is still the matter of 10 hours the atus suggests kids sleep an average of 8 hours per day they will spend outside schools where their meal choices will not be as tailored and limited 1 wechsler h et al the role of schools in preventing childhood obesity national association of state boards of education december 2004 accessed 9 11 2011 2 nordqvist c no single approach will solve america s obesity epidemic medical news today 11 june 2011 accessed 9 11 2011 3 bureau of labor statistics american time use survey 22 may 2011 accessed 9 11 2011
test-health-hgwhwbjfs-con04a,pupils will bring unhealthy food with them to schools frequently a ban whether or food alcohol or forms of media serves only to build interest in the things that has been prohibited when a ban affects something that is a familiar part of everyday life that is generally regarded as benign there is a risk that individuals may try to acquire the banned thing through other means having had their perspective in junk food defined partly by attractive highly persuasive advertising children are likely to adopt an ambivalent perspective on any attempt to restrict their dietary choices the extreme contrast between the former popularity of vending machines in schools and the austere approach required by new policies may hamper schools attempts to convince pupils of the necessity and rationality of their decision even though schools may be able to coerce and compel their pupils to comply with disciplinary measures they cannot stop children buying sweets outside of school hours when rules at an orange county school changed and the cafeteria got rid of its sweets the demand was still up high so that the school had to figure out a way to fix the situation they created a candy cart which now brings them income for sports equipment or other necessities one of the pupils edgar coker 18 year old senior explained that if i couldn t buy it here i d bring it from home 1 it is difficult to regulate junk food consumption through unsophisticated measures such as prohibition a ban my undermine attempts to alter pupil s mindsets and their perspective on food marketing and their own diets 1 harris g a federal effort to push junk food out of school new york times 2 august 2010 accessed 09 10 2011
test-health-hgwhwbjfs-con03a,junk food sales are an important source of funding for schools an important issue to consider in this topic is the constellation of incentives that actually got us to the place where we are at today with the environment designed to incentivize improving schools performance on standardized tests there is absolutely nothing that would motivate them to invest their very limited resources into non core programs or subjects such as pe and sports and other activities 1 ironically schools turned to soda and snack vending companies in order to increase their discretionary funds an example cited in the paper is one high school in beltsville md which made 72 438 53 in the 1999 2000 school year through a contract with a soft drink company and another 26 227 49 through a contract with a snack vending company the almost 100 000 obtained was used for a variety of activities including instructional uses such as purchasing computers as well as extracurricular uses such as the yearbook clubs and field trips thus it becomes clear that the proposed ban is not only ineffective but also demonstrably detrimental to schools and by extension their pupils 1 anderson p m reading writing and raisinets are school finances contributing to children s obesity national bureau of economic research march 2005 accessed 9 11 2011
test-health-hgwhwbjfs-con01a,schools should educate about healthy choices not make them on the students behalf although it might be very tempting for the government to try and attack the problem of childhood obesity by attempting to change in essence the very choices our kids can make this is the wrong way of going about doing it the purpose of schools is education the genesis of active and useful members of society a large extent of what schools do is imprinting the ideas the society values in most western countries those would be the ideas of fairness democracy freedom of expression etc the other side of the coin is the transference of knowledge knowledge of mathematics history but also of biology health and nutrition we see thus that the proposed ban on specific choices one makes in school whether be it choices regarding food or choices regarding the clothes one wears the ideas one expresses and so on is truly meaningless in the existing concept of education what the schools should be doing is putting more emphasis on getting the message of the importance of a healthy lifestyle across our kids should be taught that this lifestyle consists of more than just whether or not we chose to eat a hamburger and fries for lunch in short this ban falls short of truly educating the children about how important physical activity balanced meals and indulging in moderation are they should also focus on the importance of choice since in the case of childhood obesity making the right nutritional and lifestyle choices is of paramount importance but they should also focus on the importance of choice for a society and how all should take responsibility for their choices in such a society
test-health-dhghwapgd-pro02a,allowing production of generic drugs saves lives particularly in the developing world many developing countries are fraught with terrible disease much of africa and asia are devastated by malaria and in many parts of africa aids is a horrendous scourge infecting large percentages of many countries populations for example in swaziland 26 of the adult population is infected with the virus1 in light of these obscenely high infection rates african governments have sought to find means of acquiring enough drugs to treat their ailing populations the producers of the major aids medications do donate substantial amounts of drugs to stricken countries yet at the same time they charge ruinously high prices for that which they do sell leading to serious shortages in countries that cannot afford them the denial of the right to produce or acquire generic drugs is effectively a death sentence to people in these countries with generic drugs freely available on the market the access to such drugs would be facilitated far more readily and cheaply prices would be pushed down to market levels and african governments would be able to stand a chance of providing the requisite care to their people2 under the current system attempts by governments to access generic drugs can be met by denials of free treatments leading to even further suffering there is no ethical justification to allow pharmaceutical companies to charge artificially high prices for drugs that save lives furthermore many firms that develop and patent drugs do not share them nor do they act upon them themselves due to their unprofitability this has been the case with various treatments for malaria which affects the developing world almost exclusively thus limiting the market to customers with little money to pay for the drugs3 the result is patents and viable treatments sitting on shelves effectively gathering dust within company records when they could be used to save lives but when there is no profit there is no production allowing the production of generic drugs is to allow justice to be done in the developing world saving lives and ending human suffering 1 united nations 2006 country program outline for swaziland 2006 2010 united nations development program available 2 mercer illana 2001 patent wrongs mises daily available 3 boseley sarah 2006 rich countries blocking cheap drugs for developing world the guardian available
test-health-dhghwapgd-pro05a,you cannot own an idea and thus cannot hold patents especially to vital drugs an individual s idea so long as it rests solely in his mind or is kept safely hidden belongs to him when he disseminates it to everyone and makes it public it becomes part of the public domain and belongs to anyone who can use it if individuals or firms want to keep something a secret like a production method then they should keep it to themselves and be careful with how they disseminate their product one should not however expect some sort of ownership to inhere in an idea one has since no such ownership right exists1 no one can own an idea thus recognizing something like a property right over something like a drug formula is contrary to reason since doing so gives monopoly power to individuals who may not make efficient or equitable use of their asset physical property is a tangible asset and thus can be protected by tangible safeguards ideas do not share this right to protection because an idea once spoken enters the public domain and belongs to everyone this should apply all the more with vital drugs that are fundamentally for the public good by improving health 1fitzgerald brian and anne fitzgerald 2004 intellectual property in principle melbourne lawbook company
test-health-dhghwapgd-pro01a,the current patent system is unjust and creates perverse incentives that benefit large pharmaceutical companies at the expense of ordinary citizens the current drug patent regime is largely designed to benefit and shield the profits of large pharmaceutical companies this is due to the fact that most of the laws on drug patents were written by lobbyists and voted upon by politicians in the pay of those firms the pharmaceutical industry is simply massive and has one of the most powerful lobbies in most democratic states particularly the united states the laws are orchestrated to contain special loopholes which these firms can exploit in order to maximize profits at the expense of the taxpayer and of justice for example through a process called evergreening drug firms essentially re patent drugs when they near expiration by patenting certain compounds or variations of the drug1 this can extend the life of some patents indefinitely ensuring firms can milk customers at monopoly prices long after any possible costs of research or discovery are recouped a harm that arises from this is the enervating effect that patents can generate in firms when the incentive is to simply rest on one s patents waiting for them to expire before doing anything else societal progress is slowed in the absence of such patents firms are necessarily forced to keep innovating to stay ahead to keep looking for profitable products and ideas the free flow of ideas generated by the abolition of drug patents will invigorate economic dynamism 1 faunce thomas 2004 the awful truth about evergreening the age available
test-health-dhghwapgd-pro03a,production of generic drugs reduce medical costs by allowing increased production and the development of superior production methods increasing market efficiency the sale of generic drugs invariably reduces costs to consumers this is due to two reasons it may be the case that an individual or firm with a patent essentially a monopoly right to the production of something may not have the ability to efficiently go about meeting demand for it patents slow or even stop the dissemination of the production methods especially when a patent holder is unwilling to license production to others1 such an outcome is deleterious to society as with no restrictions on drug production an efficient producer or producers will emerge to meet the needs of the public producing an amount of drugs commensurate with demand and thus equilibrating market price with that demand2 this market equilibration is impossible under conventional patent laws as it is in the interest of firms to withhold production and to engage in monopolist rent seeking from consumers3 this leads firms to deliberately under produce which they have been shown to do in many cases as for example the case of miacalcic a drug used to treat paget s disease in which its producer deliberately kept production down in order to keep prices high4 when a firm is given monopoly power over a drug it has the ability to abuse it and history shows that is what they are wont to do by allowing the production of generic drugs this monopoly power is broken and people can get the drugs they need at costs that are not marked far above their free market value 1 kinsella stephan 2010 patents kill compulsory licenses and genzyme s life saving drug mises institute available 2stim rishand 2006 profit from your idea how to make smart licensing decisions berkeley nolo 3 lee timothy 2007 patent rent seeking cato at liberty available 4 flanders today 2010 big pharma denies strategic shortages flanders today
test-health-dhghwapgd-pro04a,when generic drugs are legalized firms and individuals no longer feel the incentive to misallocate resources to the race to patent new drugs and to monitor existing patents or to spend resources stealing from one another patent regimes cause firms to inefficiently allocate resources one such inefficiency arises from the duplication of effort by firms seeking to develop the same or very similar drugs though only the first to do so may profit from it due to the winner takes all patent system this leads to brutal races and excessive expenditure of resources to be first over the line and to monopolize the production at least for a time these races can thus lead to efforts by firms to steal research from one another thus resulting in further wastes of resources in engaging and attempting to prevent corporate espionage another serious inefficiency arises in the production of similar products to existing ones seeking to get around existing patents such has been the case for years in the pharmaceutical industry which has succeeded for example in curing erectile dysfunction dozens of times an overemphasis on such spinning off of similar products is the result of patent generated inefficiency 1 the inefficiency does not end with production however as firms likewise devote great amounts of resources and effort to the development of non duplicable products in monitoring for infringement and in prosecuting offenders all of which generates huge costs and little or no return 2 furthermore the deterrent effect to patent piracy generated by all the efforts of the state and firms has proven generally minimal clearly in the absence of patent protection for pharmaceuticals markets and firms will behave more efficiently this is shown by the introduction of generic antiretroviral drugs for treating aids where the introduction of generic drugs forced the price of the branded drugs down from to 931 in september october 2000 3 1 gabb sean 2005 market failure and the pharmaceutical industry a proposal for reform national health federation available 2 world intellectual property organization 2011 emerging issues in intellectual property available 3 avert org aids drug prices and generic drugs
test-health-dhghwapgd-con02a,patent rights allow firms to more readily release their products and methods into the public domain particularly through licensing without patent protection innovative and enterprising firms lacking the capacity to market successfully or efficiently produce new drugs might develop new drugs and never release them since it would simply result in others profiting from their efforts after all no one likes to see others profit by their hard work and leaving them nothing such is tantamount to slavery patent protection encourages the release of new ideas and products to the public which serves to benefit society generally1 the main mechanism for this is the system of licensing by which firs can retain their right of ownership over a drug while essentially renting the ability to produce it to firms with productive capacities that would better capitalize on the new product furthermore the disclosure of ideas to the public allows firms to try to make the product better by inventing around the initial design or by exploiting it once the term of the patent expires2 if the drug formula never enters the public it might never do so leaving society bereft of a potentially valuable asset 1 rockwell llewellyn 2011 the google pharm case mises daily available 2 business line 2007 patents grant freedom to invent around hindu business line available
test-health-dhghwapgd-con04a,robust drug patent laws incentivize investment of time and money in developing new products when a real chance of profit exists in the development of a new product or drug people and firms put the effort into developing and creating them the incentive to profit drives a great deal of people s intellectual endeavors research and development for example forms a major part of industries investment as they seek to create new products and inventions that will benefit consumers and thus society as a whole research and development is extremely costly however the us pharmaceutical industry alone spends tens of billions of dollars every year on researching new drugs1 the fear of theft or of lack of profit stemming from such research will serve as a powerful disincentive to investment without the protection of patents new drugs lose much of their value since a second comer on the field can simply take the formula and develop the same product without the heavy costs of research involved leaving the innovative company worse off than its copycat competitor this will lead to far less innovation and will hamper companies currently geared toward innovative and progressive products patent protection is particularly important to companies with high fixed costs and low marginal costs such as pharmaceutical firms without the guarantee of ownership over intellectual products the incentive to invest in their development is diminished as they will not be guaranteed a payback for their research costs as a competitor could simply take the product off them within a robust patents system firms compete to produce the best product for patenting and licensing that will give them a higher market share and allow them to reap high profits these incentives lead firms to invent around one another s patents leading to gradual improvements in drugs and treatments benefiting all consumers2 without patents the drugs companies are trapped in a kind of prisoners dilemma where both are individually better off by refusing to innovate yet both suffer if neither innovates patents are the solution to this if a company innovates it alone can reap the rewards of the new invention3 in the absence of patent protection there is no incentive to develop new drugs meaning in the long run more people will suffer from diseases and ailments that might have been cured were it profitable to invest in developing them clearly patent protection is essential for a dynamic progressive pharmaceutical industry 1 congressional budget office 2006 research and development in the pharmaceutical industry the congress of the united states available 2 nicol dianne and jane nielsen 2003 patents and medical biotechnology empirical analysis of issues facing the australian industry center for law and genetics occasional paper 6 available 3 yale law amp technology 2011 patents essential if flawed available
test-health-dhghwapgd-con03a,the product of a firm s intellectual endeavor is the property of that firm and it deserves to profit from it when a firm directs individuals to mix their labor with its capital or other resources part of that firm s identity inheres in the product that arises from the effort this is the origin of and fundamental philosophical justification for property rights property rights are an unquestioned mainstay of life in all developed countries and are an essential prerequisite for stable markets to develop and function1 the law protects patent rights in much the same way as more conventional physical property as well it should individuals and firms generating ideas and using their effort to produce an intangible good such as a new drug formula have a property right on those ideas and the products that arise from them it is the effort to produce a real good albeit an intangible one that marks the difference between an idea in someone s head that he does not act up and intellectual property that can be protected by a patent developing a new drug is a very intensive endeavor taking time energy and usually a considerable amount of financial investment2 the cost of developing a new drug varies widely from a low of 800 million to nearly 2 billion per drug and is rising3 people and firms deserve as a matter of principle to benefit from the products of the effort of creation for this reason stealing intellectual property which developing generic drugs is is the same as stealing an actual physical product each is a real thing even if one can be touched while the other is intangible in a physical sense as a matter of principle property rights can be assigned to intangible assets like drug formulae and in practice they are a necessity to many firms financial survival 1fitzgerald brian and anne fitzgerald 2004 intellectual property in principle melbourne lawbook company 2 congressional budget office 2006 research and development in the pharmaceutical industry the congress of the united states available 3 masia neal 2008 the cost of developing a new drug focus on intellectual property rights america gov available
test-health-dhghwapgd-con01a,generic drugs often prove to be less effective than their brand name counterparts and can even be dangerous generic drugs are meant to retain a substantial degree of bioequivalence with their brand name predecessors yet even under strict testing laws in this regard generic drugs have on several cases been shown to manifest side effects not present in their parent products for example a generic version of wellbutrin xl an anti depressant that was ostensibly chemically equivalent to the brand name drug caused suicidal episodes in several users1 this demonstrates that no amount of chemical testing can guarantee true bioequivalence and thus generic drugs cannot be considered as identical to brand name drugs in terms of safety while improving testing of generics would go some way toward fixing this problem it would not do so entirely as the market for new drugs will be so greatly widened with the approval of generic production that the cost of screening will be very high and the likelihood of poor knock offs reaching consumers particularly in the developing world where screening is less robust is increased substantially2 brand name drugs may be more expensive but their safety is more thoroughly guaranteed flooding the market with cheap potentially dangerous alternative drugs helps no one but the undertaker 1 childs dan 2007 generic drugs dangerous differences abc news available 2 mercurio bryan 2007 resolving the public health crisis in the developing world problems and barriers of access to essential medicines northwestern university journal of international human rights available
